Success
	pkg: /data/local/tmp/troyd.apk
Success
apk: /home/micinski/projects/android/troyd-accuweather/location_testing/../bin/../apks/com.accuweather.android.apk
Loaded suite /home/micinski/projects/android/troyd-accuweather/location_testing/../bin/../testcases/com.accuweather.android
Started
I/umd.troyd(  443): acp.clientlib.AcpAct
D/umd.troyd(  443): got command clickImg
D/umd.troyd(  443): click: 2th image
D/umd.troyd(  443): got command clickImg
D/umd.troyd(  443): click: 1th image
D/umd.troyd(  443): got command getViews
D/umd.troyd(  443): android.widget.FrameLayout@4061cb00
D/umd.troyd(  443): android.widget.RelativeLayout@4061e3c0
D/umd.troyd(  443): android.widget.RelativeLayout@4061e950
D/umd.troyd(  443): com.accuweather.android.view.uicomponents.ActionBar@4061ff20
D/umd.troyd(  443): android.widget.ImageView@40620870
D/umd.troyd(  443): android.widget.ImageButton@40624810
D/umd.troyd(  443): android.widget.ImageButton@40625518
D/umd.troyd(  443): com.accuweather.android.view.CardLayout@406266f0
D/umd.troyd(  443): com.accuweather.android.view.CurrentView@40630110
D/umd.troyd(  443): android.widget.RelativeLayout@4084e858
D/umd.troyd(  443): android.widget.LinearLayout@40757090
D/umd.troyd(  443): com.accuweather.android.view.uicomponents.SnapHorizontalScrollView@4064ea98
D/umd.troyd(  443): android.widget.LinearLayout@4060f910
D/umd.troyd(  443): android.widget.LinearLayout@406b8270
D/umd.troyd(  443): android.widget.RelativeLayout@406bfd18
D/umd.troyd(  443): android.widget.ImageView@406d0428
D/umd.troyd(  443): android.widget.ImageView@406e83f0
D/umd.troyd(  443): android.widget.LinearLayout@406eaa30
D/umd.troyd(  443): android.widget.TextView: NOW
D/umd.troyd(  443): android.widget.TextView: at 1:49 PM
D/umd.troyd(  443): android.widget.LinearLayout@40589bb8
D/umd.troyd(  443): android.widget.TextView: 78°
D/umd.troyd(  443): android.widget.TextView: F
D/umd.troyd(  443): android.widget.LinearLayout@40512700
D/umd.troyd(  443): android.widget.LinearLayout@405f1ed8
D/umd.troyd(  443): android.widget.TextView: RealFeel®
D/umd.troyd(  443): android.widget.LinearLayout@4074dfc0
D/umd.troyd(  443): android.widget.TextView: 76°
D/umd.troyd(  443): android.widget.TextView: F
D/umd.troyd(  443): android.widget.LinearLayout@4078f470
D/umd.troyd(  443): android.widget.LinearLayout@40588420
D/umd.troyd(  443): android.widget.TextView: 2 PM
D/umd.troyd(  443): android.widget.TextView: 11/8
D/umd.troyd(  443): android.widget.ImageView@4066aa90
D/umd.troyd(  443): android.widget.TextView: 82°
D/umd.troyd(  443): android.widget.LinearLayout@40761540
D/umd.troyd(  443): android.widget.LinearLayout@4076a798
D/umd.troyd(  443): android.widget.TextView: 3 PM
D/umd.troyd(  443): android.widget.TextView: 11/8
D/umd.troyd(  443): android.widget.ImageView@40661d48
D/umd.troyd(  443): android.widget.TextView: 80°
D/umd.troyd(  443): android.widget.LinearLayout@4060a580
D/umd.troyd(  443): android.widget.LinearLayout@406161f8
D/umd.troyd(  443): android.widget.TextView: 4 PM
D/umd.troyd(  443): android.widget.TextView: 11/8
D/umd.troyd(  443): android.widget.ImageView@40638a90
D/umd.troyd(  443): android.widget.TextView: 79°
D/umd.troyd(  443): android.widget.LinearLayout@4064e468
D/umd.troyd(  443): android.widget.LinearLayout@40654ff8
D/umd.troyd(  443): android.widget.TextView: 5 PM
D/umd.troyd(  443): android.widget.TextView: 11/8
D/umd.troyd(  443): android.widget.ImageView@40663fc8
D/umd.troyd(  443): android.widget.TextView: 77°
D/umd.troyd(  443): android.widget.LinearLayout@40665fb8
D/umd.troyd(  443): android.widget.LinearLayout@40667508
